Date,Open,High,Low,Close,Adj Close,Volume
2017-09-27,141500,142000,139500,140500,140334.9688,457782
2017-09-28,140500,141000,139000,139500,139336.1406,320185
2017-09-29,140500,145000,139500,144000,143830.8594,750550
2017-10-10,147000,149500,145500,149000,148824.9844,837504
2017-10-11,149500,151500,148000,150500,150323.2188,523485
2017-10-12,151500,159500,151000,159500,159312.6406,1304122
2017-10-13,160000,168000,151500,152500,152320.875,2543079
2017-10-16,150500,157000,146000,156000,155816.7656,1723984
2017-10-17,157000,159000,153000,157500,157315,719696
2017-10-18,156500,156500,147500,148500,148325.5625,1640427
2017-10-19,149000,151500,145000,147000,146827.3281,1065448
2017-10-20,149000,151500,148000,150000,149823.8125,667108
2017-10-23,149000,151500,147500,151000,150822.625,565904
2017-10-24,151000,153000,150000,150000,149823.8125,467080
2017-10-25,151500,152000,145000,146000,145828.5,768872
2017-10-26,145500,145500,139000,140000,139835.5469,1893626
2017-10-27,139500,143500,136500,143500,143331.4375,1032642
2017-10-30,144000,146500,140500,142000,141833.2031,652066
2017-10-31,143000,146000,142500,144000,143830.8594,465396
2017-11-01,145000,151500,143000,151000,150822.625,1022580
2017-11-02,152500,153000,149000,150000,149823.8125,506579
2017-11-03,151000,153000,146500,152500,152320.875,627354
2017-11-06,153500,154000,151500,153000,152820.2813,497572
2017-11-07,153500,155000,152000,154000,153819.1094,482499
2017-11-08,154500,158000,154000,157500,157315,821591
2017-11-09,159500,162500,149500,152500,152320.875,1633218
2017-11-10,151000,156000,150000,152500,152320.875,737490
2017-11-13,153000,155500,152000,154000,153819.1094,604366
2017-11-14,154000,156000,152500,155000,154817.9375,516918
2017-11-15,155500,156000,153500,154000,153819.1094,491354
2017-11-17,155500,159500,154500,157500,157315,718319
2017-11-20,158500,161000,158000,160000,159812.0625,714306
2017-11-21,161500,166000,160000,161000,160810.8906,1244207
2017-11-22,161000,161500,153000,154500,154318.5156,4520630
2017-11-24,150000,153500,146500,148000,147826.1563,1274472
2017-11-27,147500,151000,147000,147500,147326.75,771973
2017-11-28,147500,148000,145000,145500,145329.0938,651234
2017-11-29,146000,146500,142000,145000,144829.6719,1022981
2017-11-30,145000,145500,135000,136500,136339.6563,1808464
